档位,本期政策,需求满足率,订购率,订足面,订足率(济南),户均条数,下期政策,价位
30,8 ,100%,67%,100%,100%,8.0 ,8 ,583.00 
29,8 ,84%,63%,73%,87%,6.7 ,8 ,583.00 
28,8 ,95%,38%,55%,74%,5.8 ,8 ,583.00 
27,7 ,91%,28%,55%,77%,5.0 ,7 ,583.00 
26,7 ,95%,21%,47%,73%,4.5 ,7 ,583.00 
25,6 ,90%,17%,48%,71%,3.9 ,6 ,583.00 
24,6 ,95%,13%,41%,67%,3.6 ,6 ,583.00 
23,5 ,84%,10%,49%,76%,3.1 ,5 ,583.00 
22,4 ,89%,6%,46%,66%,2.6 ,4 ,583.00 
21,3 ,85%,5%,63%,79%,2.2 ,3 ,583.00 
20,2 ,54%,5%,80%,92%,1.7 ,2 ,583.00 
19,2 ,72%,2%,82%,90%,1.7 ,2 ,583.00 
18,2 ,47%,4%,60%,78%,1.4 ,2 ,583.00 
17,2 ,97%,2%,68%,87%,1.4 ,2 ,583.00 
16,2 ,73%,2%,75%,93%,1.5 ,2 ,583.00 
15,2 ,68%,5%,69%,85%,1.4 ,2 ,583.00 
14,0 ,0%,0%,-,-,-,1 ,583.00 
13,0 ,0%,0%,-,-,-,1 ,583.00 
12,0 ,0%,0%,-,-,-,1 ,583.00 
11,0 ,-,0%,-,-,-,1 ,583.00 
10,0 ,0%,0%,-,-,-,0 ,583.00 
9,0 ,0%,0%,-,-,-,0 ,583.00 
8,0 ,0%,0%,-,-,-,0 ,583.00 
7,0 ,0%,0%,-,-,-,0 ,583.00 
6,0 ,0%,0%,-,-,-,0 ,583.00 
5,0 ,0%,0%,-,-,-,0 ,583.00 
4,0 ,0%,0%,-,-,-,0 ,583.00 
3,0 ,0%,0%,-,-,-,0 ,583.00 
2,0 ,0%,0%,-,-,-,0 ,583.00 
1,0 ,0%,0%,-,-,-,0 ,583.00 
30,2 ,92%,100%,100%,100%,2.0,3 ,424.00 
29,2 ,58%,91%,100%,100%,1.9,3 ,424.00 
28,2 ,57%,86%,99%,100%,1.8,3 ,424.00 
27,2 ,65%,79%,99%,100%,1.8,3 ,424.00 
26,2 ,58%,60%,100%,100%,2.0,2 ,424.00 
25,2 ,63%,54%,97%,99%,2.0,2 ,424.00 
24,1 ,40%,47%,100%,100%,1.0,2 ,424.00 
23,1 ,23%,33%,100%,100%,1.0,1 ,424.00 
22,1 ,47%,25%,99%,100%,1.0,1 ,424.00 
21,0 ,0%,0%,-,-,-,0 ,424.00 
20,0 ,0%,0%,-,-,-,0 ,424.00 
19,0 ,0%,0%,-,-,-,0 ,424.00 
18,0 ,0%,0%,-,-,-,0 ,424.00 
17,0 ,0%,0%,-,-,-,0 ,424.00 
16,0 ,0%,0%,-,-,-,0 ,424.00 
15,0 ,0%,0%,-,-,-,0 ,424.00 
14,0 ,0%,0%,-,-,-,0 ,424.00 
13,0 ,0%,0%,-,-,-,0 ,424.00 
12,0 ,0%,0%,-,-,-,0 ,424.00 
11,0 ,0%,0%,-,-,-,0 ,424.00 
10,0 ,0%,0%,-,-,-,0 ,424.00 
9,0 ,0%,0%,-,-,-,0 ,424.00 
8,0 ,0%,0%,-,-,-,0 ,424.00 
7,0 ,0%,0%,-,-,-,0 ,424.00 
6,0 ,0%,0%,-,-,-,0 ,424.00 
5,0 ,0%,0%,-,-,-,0 ,424.00 
4,0 ,0%,0%,-,-,-,0 ,424.00 
3,0 ,-,0%,-,-,-,0 ,424.00 
2,0 ,-,0%,-,-,-,0 ,424.00 
1,0 ,0%,0%,-,-,-,0 ,424.00 
30,7 ,100%,67%,100%,100%,6.0 ,7 ,381.60 
29,7 ,78%,68%,76%,87%,5.3 ,7 ,381.60 
28,7 ,85%,47%,60%,77%,4.7 ,7 ,381.60 
27,6 ,87%,37%,49%,68%,4.2 ,6 ,381.60 
26,6 ,76%,29%,46%,69%,3.9 ,6 ,381.60 
25,6 ,95%,26%,38%,60%,3.6 ,6 ,381.60 
24,5 ,93%,18%,40%,63%,3.1 ,5 ,381.60 
23,5 ,93%,14%,35%,61%,2.7 ,5 ,381.60 
22,4 ,89%,10%,39%,60%,2.4 ,4 ,381.60 
21,4 ,89%,8%,34%,56%,2.3 ,4 ,381.60 
20,3 ,69%,7%,54%,72%,2.0 ,3 ,381.60 
19,3 ,83%,5%,47%,68%,1.9 ,3 ,381.60 
18,3 ,62%,5%,49%,69%,1.9 ,3 ,381.60 
17,2 ,79%,5%,78%,91%,1.5 ,2 ,381.60 
16,2 ,62%,4%,68%,77%,1.4 ,2 ,381.60 
15,2 ,46%,7%,75%,85%,1.4 ,2 ,381.60 
14,0 ,0%,0%,-,-,-,0 ,381.60 
13,0 ,0%,0%,-,-,-,0 ,381.60 
12,0 ,0%,0%,-,-,-,0 ,381.60 
11,0 ,0%,0%,-,-,-,0 ,381.60 
10,0 ,0%,0%,-,-,-,0 ,381.60 
9,0 ,0%,0%,-,-,-,0 ,381.60 
8,0 ,0%,0%,-,-,-,0 ,381.60 
7,0 ,0%,0%,-,-,-,0 ,381.60 
6,0 ,0%,0%,-,-,-,0 ,381.60 
5,0 ,0%,0%,-,-,-,0 ,381.60 
4,0 ,0%,0%,-,-,-,0 ,381.60 
3,0 ,0%,0%,-,-,-,0 ,381.60 
2,0 ,0%,0%,-,-,-,0 ,381.60 
1,0 ,0%,0%,-,-,-,0 ,381.60 
30,9 ,0%,17%,0%,-,0.0,9 ,455.80 
29,7 ,45%,22%,64%,77%,5.8,7 ,455.80 
28,6 ,46%,16%,62%,78%,4.6,6 ,455.80 
27,5 ,41%,11%,71%,84%,4.2,5 ,455.80 
26,4 ,48%,8%,42%,67%,2.5,4 ,455.80 
25,4 ,58%,9%,56%,77%,2.7,4 ,455.80 
24,3 ,41%,6%,59%,74%,2.3,3 ,455.80 
23,2 ,33%,4%,76%,86%,1.6,2 ,455.80 
22,2 ,21%,2%,78%,85%,1.4,2 ,455.80 
21,2 ,31%,3%,76%,85%,1.7,2 ,455.80 
20,1 ,11%,1%,100%,100%,1.0,1 ,455.80 
19,1 ,13%,1%,100%,100%,1.0,1 ,455.80 
18,1 ,21%,1%,100%,100%,1.0,1 ,455.80 
17,1 ,11%,1%,78%,100%,0.8,1 ,455.80 
16,1 ,13%,0%,100%,100%,1.0,1 ,455.80 
15,1 ,28%,1%,100%,100%,1.0,1 ,455.80 
14,0 ,0%,0%,-,-,-,0 ,455.80 
13,0 ,0%,0%,-,-,-,0 ,455.80 
12,0 ,0%,0%,-,-,-,0 ,455.80 
11,0 ,0%,0%,-,-,-,0 ,455.80 
10,0 ,0%,0%,-,-,-,0 ,455.80 
9,0 ,0%,0%,-,-,-,0 ,455.80 
8,0 ,0%,0%,-,-,-,0 ,455.80 
7,0 ,0%,0%,-,-,-,0 ,455.80 
6,0 ,0%,0%,-,-,-,0 ,455.80 
5,0 ,0%,0%,-,-,-,0 ,455.80 
4,0 ,0%,0%,-,-,-,0 ,455.80 
3,0 ,-,0%,-,-,-,0 ,455.80 
2,0 ,0%,0%,-,-,-,0 ,455.80 
1,0 ,0%,0%,-,-,-,0 ,455.80 
30,9 ,100%,17%,100%,100%,9.0,9 ,424.00 
29,7 ,87%,40%,43%,65%,4.7,7 ,424.00 
28,7 ,97%,27%,35%,60%,4.1,7 ,424.00 
27,6 ,93%,23%,29%,54%,3.2,6 ,424.00 
26,6 ,95%,18%,29%,50%,3.4,6 ,424.00 
25,5 ,98%,17%,29%,54%,2.7,5 ,424.00 
24,5 ,95%,13%,22%,46%,2.4,5 ,424.00 
23,4 ,65%,10%,26%,48%,2.2,4 ,424.00 
22,4 ,90%,8%,24%,42%,2.2,4 ,424.00 
21,4 ,91%,7%,22%,44%,2.0,4 ,424.00 
20,3 ,66%,6%,41%,61%,2.0,3 ,424.00 
19,3 ,84%,4%,33%,53%,1.9,3 ,424.00 
18,3 ,71%,4%,32%,52%,1.9,3 ,424.00 
17,2 ,69%,3%,48%,71%,1.4,2 ,424.00 
16,2 ,81%,3%,69%,81%,1.7,2 ,424.00 
15,2 ,83%,4%,70%,82%,1.7,2 ,424.00 
14,1 ,55%,2%,95%,100%,1.0,1 ,424.00 
13,1 ,68%,2%,100%,100%,1.0,1 ,424.00 
12,1 ,46%,1%,100%,100%,1.0,1 ,424.00 
11,1 ,80%,1%,100%,100%,1.0,1 ,424.00 
10,0 ,0%,0%,-,-,-,0 ,424.00 
9,0 ,0%,0%,-,-,-,0 ,424.00 
8,0 ,0%,0%,-,-,-,0 ,424.00 
7,0 ,0%,0%,-,-,-,0 ,424.00 
6,0 ,0%,0%,-,-,-,0 ,424.00 
5,0 ,0%,0%,-,-,-,0 ,424.00 
4,0 ,0%,0%,-,-,-,0 ,424.00 
3,0 ,0%,0%,-,-,-,0 ,424.00 
2,0 ,0%,0%,-,-,-,0 ,424.00 
1,0 ,0%,0%,-,-,-,0 ,424.00 
30,10 ,100%,50%,67%,80%,8.3,10 ,243.80 
29,9 ,97%,54%,44%,64%,6.2,9 ,243.80 
28,8 ,97%,37%,40%,65%,4.8,8 ,243.80 
27,7 ,88%,29%,39%,61%,4.3,7 ,243.80 
26,7 ,98%,28%,22%,43%,3.5,7 ,243.80 
25,6 ,98%,23%,27%,49%,3.2,6 ,243.80 
24,6 ,97%,21%,18%,37%,2.8,6 ,243.80 
23,5 ,94%,14%,30%,53%,2.8,5 ,243.80 
22,5 ,96%,12%,21%,40%,2.3,5 ,243.80 
21,5 ,96%,10%,20%,41%,2.4,5 ,243.80 
20,4 ,91%,7%,27%,46%,2.1,4 ,243.80 
19,4 ,71%,7%,31%,49%,2.3,4 ,243.80 
18,3 ,49%,6%,37%,56%,1.7,3 ,243.80 
17,3 ,88%,3%,31%,46%,1.8,3 ,243.80 
16,2 ,80%,3%,74%,85%,1.6,2 ,243.80 
15,2 ,57%,4%,82%,89%,1.4,2 ,243.80 
14,1 ,53%,3%,100%,100%,1.0,1 ,243.80 
13,1 ,4%,2%,89%,100%,0.9,1 ,243.80 
12,1 ,43%,3%,100%,100%,1.0,1 ,243.80 
11,1 ,100%,2%,100%,100%,1.0,1 ,243.80 
10,0 ,0%,0%,-,-,-,0 ,243.80 
9,0 ,0%,0%,-,-,-,0 ,243.80 
8,0 ,0%,0%,-,-,-,0 ,243.80 
7,0 ,0%,0%,-,-,-,0 ,243.80 
6,0 ,0%,0%,-,-,-,0 ,243.80 
5,0 ,0%,0%,-,-,-,0 ,243.80 
4,0 ,0%,0%,-,-,-,0 ,243.80 
3,0 ,0%,0%,-,-,-,0 ,243.80 
2,0 ,0%,0%,-,-,-,0 ,243.80 
1,0 ,0%,0%,-,-,-,0 ,243.80 
30,10 ,100%,50%,33%,56%,6.0,10 ,188.68 
29,9 ,93%,48%,34%,58%,5.2,9 ,188.68 
28,9 ,96%,38%,20%,40%,4.5,9 ,188.68 
27,8 ,90%,39%,22%,45%,3.8,8 ,188.68 
26,8 ,98%,35%,13%,30%,3.5,8 ,188.68 
25,7 ,97%,34%,14%,29%,3.2,7 ,188.68 
24,7 ,96%,28%,15%,35%,2.9,7 ,188.68 
23,5 ,83%,23%,24%,46%,2.5,5 ,188.68 
22,5 ,95%,17%,16%,33%,2.2,5 ,188.68 
21,5 ,94%,15%,17%,37%,2.2,5 ,188.68 
20,4 ,85%,11%,21%,39%,2.0,4 ,188.68 
19,4 ,63%,10%,19%,37%,2.0,4 ,188.68 
18,4 ,77%,9%,34%,55%,2.4,4 ,188.68 
17,3 ,90%,7%,42%,59%,1.8,3 ,188.68 
16,3 ,99%,4%,27%,43%,1.5,3 ,188.68 
15,3 ,81%,7%,54%,71%,1.9,3 ,188.68 
14,2 ,73%,4%,51%,69%,1.5,2 ,188.68 
13,2 ,65%,2%,54%,70%,1.5,2 ,188.68 
12,2 ,62%,3%,64%,78%,1.6,2 ,188.68 
11,2 ,71%,4%,56%,72%,1.6,2 ,188.68 
10,1 ,50%,4%,100%,100%,1.0,1 ,188.68 
9,1 ,33%,2%,100%,100%,1.0,1 ,188.68 
8,1 ,45%,6%,100%,100%,1.0,1 ,188.68 
7,1 ,40%,4%,100%,100%,1.0,1 ,188.68 
6,1 ,60%,4%,100%,100%,1.0,1 ,188.68 
5,0 ,0%,0%,-,-,-,0 ,188.68 
4,0 ,0%,0%,-,-,-,0 ,188.68 
3,0 ,0%,0%,-,-,-,0 ,188.68 
2,0 ,0%,0%,-,-,-,0 ,188.68 
1,0 ,0%,0%,-,-,-,0 ,188.68 
30,5 ,100%,33%,0%,0%,2.0,5 ,218.36 
29,4 ,86%,32%,53%,69%,3.1,5 ,218.36 
28,4 ,93%,20%,55%,71%,3.1,5 ,218.36 
27,3 ,74%,23%,55%,71%,2.4,4 ,218.36 
26,3 ,70%,21%,48%,64%,2.2,4 ,218.36 
25,2 ,78%,21%,70%,83%,1.7,3 ,218.36 
24,2 ,82%,15%,70%,84%,1.7,3 ,218.36 
23,1 ,44%,13%,98%,100%,1.0,2 ,218.36 
22,1 ,52%,9%,100%,100%,1.0,2 ,218.36 
21,1 ,63%,9%,100%,100%,1.0,2 ,218.36 
20,0 ,0%,0%,-,-,-,1 ,218.36 
19,0 ,0%,0%,-,-,-,1 ,218.36 
18,0 ,0%,0%,-,-,-,1 ,218.36 
17,0 ,0%,0%,-,-,-,1 ,218.36 
16,0 ,0%,0%,-,-,-,1 ,218.36 
15,0 ,0%,0%,-,-,-,0 ,218.36 
14,0 ,0%,0%,-,-,-,0 ,218.36 
13,0 ,0%,0%,-,-,-,0 ,218.36 
12,0 ,0%,0%,-,-,-,0 ,218.36 
11,0 ,0%,0%,-,-,-,0 ,218.36 
10,0 ,0%,0%,-,-,-,0 ,218.36 
9,0 ,0%,0%,-,-,-,0 ,218.36 
8,0 ,0%,0%,-,-,-,0 ,218.36 
7,0 ,0%,0%,-,-,-,0 ,218.36 
6,0 ,0%,0%,-,-,-,0 ,218.36 
5,0 ,0%,0%,-,-,-,0 ,218.36 
4,0 ,0%,0%,-,-,-,0 ,218.36 
3,0 ,0%,0%,-,-,-,0 ,218.36 
2,0 ,0%,0%,-,-,-,0 ,218.36 
1,0 ,0%,0%,-,-,-,0 ,218.36 
30,13 ,100%,67%,75%,76%,12.8,13 ,201.40 
29,11 ,78%,79%,59%,73%,8.8,12 ,201.40 
28,10 ,90%,76%,54%,72%,7.5,11 ,201.40 
27,9 ,60%,71%,54%,72%,6.7,10 ,201.40 
26,9 ,85%,62%,44%,64%,6.3,10 ,201.40 
25,9 ,96%,66%,31%,52%,5.4,9 ,201.40 
24,8 ,85%,56%,31%,52%,4.8,8 ,201.40 
23,8 ,82%,50%,24%,45%,4.3,8 ,201.40 
22,7 ,91%,38%,18%,37%,3.5,7 ,201.40 
21,6 ,55%,36%,19%,36%,3.1,6 ,201.40 
20,5 ,83%,32%,27%,49%,2.8,5 ,201.40 
19,5 ,53%,26%,21%,43%,2.5,5 ,201.40 
18,5 ,92%,24%,22%,44%,2.5,5 ,201.40 
17,5 ,96%,21%,18%,37%,2.4,5 ,201.40 
16,5 ,92%,16%,18%,39%,2.4,5 ,201.40 
15,4 ,86%,18%,31%,52%,2.4,4 ,201.40 
14,4 ,67%,11%,25%,48%,2.1,4 ,201.40 
13,4 ,90%,8%,32%,57%,2.3,4 ,201.40 
12,4 ,99%,11%,12%,27%,1.7,4 ,201.40 
11,4 ,92%,10%,31%,53%,2.3,4 ,201.40 
10,3 ,79%,13%,44%,59%,2.2,3 ,201.40 
9,3 ,95%,11%,47%,71%,2.0,3 ,201.40 
8,3 ,97%,13%,15%,28%,1.6,3 ,201.40 
7,3 ,81%,17%,27%,50%,1.6,3 ,201.40 
6,3 ,94%,10%,29%,45%,1.9,3 ,201.40 
5,2 ,24%,9%,77%,87%,1.8,2 ,201.40 
4,2 ,83%,13%,53%,69%,1.5,2 ,201.40 
3,2 ,87%,13%,73%,85%,1.7,2 ,201.40 
2,2 ,84%,22%,64%,78%,1.6,2 ,201.40 
1,2 ,60%,14%,76%,87%,1.7,2 ,201.40 
30,8 ,100%,67%,50%,57%,7.0,8 ,188.68 
29,8 ,82%,71%,55%,73%,6.0,8 ,188.68 
28,7 ,87%,62%,51%,68%,5.2,7 ,188.68 
27,7 ,82%,55%,47%,68%,4.8,7 ,188.68 
26,7 ,82%,52%,41%,62%,4.6,7 ,188.68 
25,6 ,86%,47%,35%,57%,3.8,6 ,188.68 
24,6 ,86%,42%,29%,51%,3.4,6 ,188.68 
23,5 ,85%,33%,33%,56%,3.0,5 ,188.68 
22,5 ,94%,27%,28%,50%,2.8,5 ,188.68 
21,5 ,39%,24%,21%,41%,2.5,5 ,188.68 
20,4 ,81%,21%,37%,58%,2.5,4 ,188.68 
19,4 ,79%,16%,28%,50%,2.2,4 ,188.68 
18,4 ,77%,15%,28%,50%,2.3,4 ,188.68 
17,4 ,91%,13%,26%,48%,2.2,4 ,188.68 
16,3 ,90%,10%,30%,49%,1.8,3 ,188.68 
15,3 ,78%,11%,48%,66%,2.2,3 ,188.68 
14,3 ,56%,8%,29%,49%,1.8,3 ,188.68 
13,2 ,74%,6%,76%,88%,1.7,2 ,188.68 
12,2 ,96%,7%,44%,63%,1.5,2 ,188.68 
11,2 ,67%,5%,55%,71%,1.6,2 ,188.68 
10,1 ,47%,11%,100%,100%,1.0,1 ,188.68 
9,1 ,50%,8%,92%,100%,0.9,1 ,188.68 
8,1 ,50%,8%,100%,100%,1.0,1 ,188.68 
7,1 ,53%,6%,100%,100%,1.0,1 ,188.68 
6,1 ,86%,7%,100%,100%,1.0,1 ,188.68 
5,1 ,13%,8%,100%,100%,1.0,1 ,188.68 
4,1 ,57%,9%,100%,100%,1.0,1 ,188.68 
3,1 ,70%,6%,100%,100%,1.0,1 ,188.68 
2,1 ,60%,9%,90%,100%,0.9,1 ,188.68 
1,1 ,47%,9%,97%,100%,1.0,1 ,188.68 
30,5 ,100%,50%,33%,50%,3.3,5 ,201.40 
29,5 ,93%,35%,67%,83%,4.0,5 ,201.40 
28,5 ,94%,28%,68%,84%,4.1,5 ,201.40 
27,4 ,81%,25%,69%,84%,3.3,4 ,201.40 
