,品规ID,品规名,三十档,二十九档,二十八档,二十七档,二十六档,二十五档,二十四档,二十三档,二十二档,二十一档,二十档,十九档,十八档,十七档,十六档,十五档,十四档,十三档,十二档,十一档,十档,九档,八档,七档,六档,五档,四档,三档,二档,一档
0,6901028010290,中南海(京韵细支烤烟),3.0,2.0,1.0,7.0,5.0,2.474731182795699,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012,-0.5252688172043012,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
1,6901028340670,云烟(中支金腰带),3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.0,0.4747311827956988,0.4747311827956988
2,6901028312356,云烟(细支大重九),2.0,2.0,2.0,5.0,4.0,0.4747311827956988,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.0
3,6901028339537,云烟(细支珍品),5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.4747311827956988,1.0,1.4747311827956988,3.0,1.4747311827956988,0.0,1.4747311827956988,0.4747311827956988
4,6901028051989,云烟(软大重九),2.0,2.0,2.0,5.0,4.0,2.474731182795699,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
5,6901028045919,云烟(软珍品),14.0,12.0,10.0,9.0,9.0,7.0,7.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
6,6901028177214,冬虫夏草(和润),4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,0.0,0.4747311827956988,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
7,6901028018166,凤凰(细支),5.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4747311827956988,0.0,1.4747311827956988
8,6901028207089,利群(蓝天),15.0,15.0,13.0,12.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0
9,6901028119009,利群(西子阳光),7.0,5.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.5252688172043012,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.0
10,6901028110709,利群(西湖恋),7.0,5.0,3.0,3.0,3.0,11.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.4747311827956988,1.0,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.0,0.0,0.0
11,6901028207508,利群(软红长嘴),14.0,13.0,10.0,10.0,8.0,10.0,9.0,8.0,8.0,6.0,7.0,6.0,4.0,5.0,4.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,3.0,6.0,3.0,3.0,4.0,5.0,2.0
12,6901028120708,利群(软长嘴),8.0,7.0,4.0,4.0,3.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0
13,6901028112789,南京(九五),3.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,0.0,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988
14,6901028300087,南京(佳品),15.0,14.0,13.0,11.0,10.0,9.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
15,6901028062329,南京(十二钗烤烟),17.0,14.0,12.0,11.0,10.0,8.0,9.0,8.0,7.0,7.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0
16,6901028062350,南京(十二钗薄荷),19.0,17.0,16.0,15.0,13.0,12.0,12.0,11.0,11.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
17,6901028112710,南京(红楼卷),0.0,1.0,8.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,0.0,0.0,0.0,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
18,6901028111546,南京(雨花石),18.0,14.0,12.0,10.0,10.0,9.0,8.0,7.0,7.0,6.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
19,6901028143677,古田(红军灰),2.0,3.0,5.0,3.0,1.0,2.474731182795699,6.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
20,6901028228466,天子(千里江山细支),3.0,2.0,2.474731182795699,6.0,6.0,2.474731182795699,5.0,4.0,4.0,3.0,3.0,1.4747311827956988,2.0,2.0,1.0,0.4747311827956988,1.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
21,6901028937412,延安(细支圣地河谷),1.0,2.0,2.474731182795699,3.0,2.0,2.474731182795699,2.474731182795699,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,0.4747311827956988,1.0,0.4747311827956988,0.0,0.4747311827956988,0.0,0.4747311827956988,-0.5252688172043012,-0.5252688172043012,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
22,6901028018753,恒大(烟魁1949中支),4.0,3.0,4.0,5.0,2.0,2.474731182795699,5.0,5.0,2.474731182795699,4.0,3.0,3.0,3.0,2.0,2.0,0.4747311827956988,0.4747311827956988,1.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012,-0.5252688172043012,0.0,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
23,6901028156752,泰山(东方),30.0,30.0,27.0,27.0,26.0,25.0,24.0,22.0,22.0,22.0,23.0,22.0,22.0,21.0,21.0,20.0,19.0,20.0,19.0,19.0,18.0,18.0,18.0,18.0,17.0,18.0,17.0,17.0,17.0,17.0
24,6901028156783,泰山(华贵),89.0,90.0,87.0,85.0,83.0,84.0,80.0,79.0,78.0,76.0,76.0,75.0,73.0,73.0,71.0,70.0,69.0,68.0,68.0,68.0,66.0,66.0,66.0,65.0,65.0,65.0,65.0,64.0,64.0,64.0
25,6901028155618,泰山(好好学习),10.0,5.0,6.0,7.0,5.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4747311827956988,0.0,0.0
26,6901028154154,泰山(好客细支),23.0,20.0,17.0,15.0,13.0,12.0,12.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0
27,6901028157216,泰山(宏图),103.0,102.0,101.0,96.0,95.0,95.0,89.0,88.0,87.0,87.0,83.0,82.0,82.0,81.0,81.0,79.0,78.0,78.0,77.0,77.0,76.0,75.0,75.0,75.0,75.0,75.0,74.0,75.0,74.0,74.0
28,6901028148955,泰山(平安),50.0,50.0,48.0,46.0,44.0,43.0,42.0,40.0,40.0,39.0,37.0,36.0,36.0,35.0,34.0,34.0,33.0,33.0,32.0,32.0,32.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,30.0
29,6901028159753,泰山(心悦),52.0,50.0,47.0,44.0,43.0,42.0,41.0,39.0,39.0,38.0,36.0,35.0,35.0,34.0,32.0,32.0,33.0,31.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0,28.0,29.0,28.0,28.0,28.0
30,6901028148603,泰山(拂光细支),16.0,12.0,9.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31,6901028150194,泰山(新品),38.0,35.0,31.0,30.0,28.0,29.0,25.0,24.0,23.0,22.0,21.0,20.0,19.0,19.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,16.0,15.0,16.0,15.0,15.0
32,6901028150378,泰山(望岳),19.0,16.0,16.0,15.0,13.0,15.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
33,6901028151634,泰山(白将军),60.0,60.0,58.0,56.0,55.0,56.0,54.0,52.0,51.0,51.0,50.0,49.0,48.0,47.0,46.0,46.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,41.0,41.0
34,6901028156608,泰山(白将细支),35.0,34.0,32.0,31.0,30.0,29.0,29.0,27.0,27.0,26.0,26.0,25.0,25.0,24.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,23.0,22.0,21.0,22.0,21.0,21.0,20.0,21.0
35,6901028159579,泰山(青秀),22.0,21.0,20.0,19.0,17.0,16.0,15.0,14.0,14.0,13.0,16.0,13.0,13.0,12.0,11.0,11.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0
36,6901028155557,泰山(颜悦),17.0,14.0,13.0,11.0,10.0,10.0,9.0,7.0,8.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0
37,6901028053419,玉溪(108),5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4747311827956988,1.0,0.4747311827956988,0.4747311827956988,0.0,-0.5252688172043012,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0
38,6901028052696,玉溪(中支和谐),3.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.4747311827956988,0.0,0.0,0.4747311827956988,0.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988
39,6901028054898,玉溪(创客),6.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.474731182795699
40,6901028053471,玉溪(细支初心),9.0,7.0,6.0,6.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0
41,6901028054447,玉溪(细支清香世家),11.0,7.0,5.0,7.0,6.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
42,6901028317177,玉溪(软),37.0,34.0,32.0,30.0,28.0,27.0,26.0,25.0,24.0,22.0,21.0,21.0,20.0,19.0,18.0,18.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0
43,6901028053594,玉溪(软初心),7.0,8.0,5.0,6.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.474731182795699,0.0,2.474731182795699,1.4747311827956988,0.0,1.4747311827956988,1.4747311827956988,1.4747311827956988,1.4747311827956988
44,6901028053082,玉溪(软阿诗玛),7.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4747311827956988,1.0,1.0,1.0,1.0,1.0,1.4747311827956988
45,6901028053440,玉溪(高配版),6.0,6.0,4.0,3.0,5.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,6901028196932,白沙(和天下),3.0,2.0,1.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,-0.5252688172043012,-0.5252688172043012,0.4747311827956988,0.4747311827956988
47,6901028193504,芙蓉王(硬),10.0,9.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
48,6901028201728,芙蓉王(硬细支),7.0,8.0,7.0,6.0,6.0,2.0,4.0,4.0,3.0,2.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
49,6901028062015,苏烟(五星红杉树),18.0,16.0,14.0,14.0,12.0,13.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0
50,6901028116190,苏烟(沉香),2.0,1.0,2.0,1.0,1.0,2.474731182795699,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.0,0.4747311827956988,-0.5252688172043012,0.0,0.0,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012
51,6901028114455,苏烟(软金砂),11.0,8.0,7.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
52,6901028221542,贵烟(萃),10.0,7.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.4747311827956988,0.0,0.0,0.4747311827956988,0.0
53,6901028221450,贵烟(跨越),9.0,7.0,6.0,6.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.4747311827956988,0.0,0.0,1.4747311827956988,0.0,4.0,3.0,0.0,0.0,0.0
54,6901028221603,贵烟(魔力),4.0,2.0,2.0,2.0,2.0,2.474731182795699,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.4747311827956988,1.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
55,6901028136358,金圣(智圣出山),2.0,2.0,2.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.0,0.0,0.4747311827956988,0.0,-0.5252688172043012,0.4747311827956988,0.4747311827956988,0.4747311827956988
56,6901028125970,黄山(徽商新概念细支),1.0,8.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,0.0,-0.5252688172043012
57,6901028123983,黄山(红方印前店后坊中支),2.0,2.0,2.0,6.0,5.0,2.474731182795699,4.0,2.474731182795699,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.4747311827956988,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
58,6901028160285,黄金叶(乐途),9.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.474731182795699
59,6901028165921,黄金叶(小目标),8.0,7.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.474731182795699,1.0,2.474731182795699,2.474731182795699
60,6901028165242,黄金叶(爱尚),9.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.4747311827956988
61,6901028184250,黄鹤楼(硬1916),3.0,3.0,2.0,2.0,1.0,4.0,3.0,6.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.0,0.4747311827956988,0.0,0.4747311827956988,0.0,0.0,0.0,-0.5252688172043012,-0.5252688172043012,0.0,0.4747311827956988
62,6901028190404,黄鹤楼(硬圣火),2.0,2.0,2.0,3.0,3.0,2.474731182795699,7.0,5.0,5.0,4.0,2.474731182795699,3.0,3.0,2.0,2.0,2.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
63,6901028178105,黄鹤楼(硬天下胜景),3.0,2.0,2.0,6.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012
64,6901028219174,黄鹤楼(硬奇景),8.0,4.0,3.0,3.0,3.0,3.474731182795699,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.4747311827956988,1.4747311827956988,0.4747311827956988,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,0.4747311827956988,0.4747311827956988,0.4747311827956988,-0.5252688172043012
65,6901028188029,黄鹤楼(硬峡谷情细支),4.0,4.0,4.0,2.0,2.0,2.474731182795699,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.4747311827956988,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
66,6901028181457,黄鹤楼(硬峡谷柔情),2.0,2.0,1.0,7.0,6.0,3.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5252688172043012,0.0,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012
67,6901028184304,黄鹤楼(硬平安),3.0,3.0,2.0,8.0,5.0,2.474731182795699,4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4747311827956988,0.4747311827956988,0.0,0.0,0.4747311827956988,-0.5252688172043012,0.0,-0.5252688172043012,-0.5252688172043012,-0.5252688172043012,0.4747311827956988
68,6901028183239,黄鹤楼(硬金砂龙烟),22.0,21.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
69,6901028180580,黄鹤楼(软蓝),17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
70,6901028190602,黄鹤楼(软雪之景),20.0,20.0,18.0,18.0,16.0,16.0,14.0,14.0,13.0,13.0,14.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0
